ADM_CD,year,month,LST,NDVI,NDBI,Albedo
11170730,2024,4,27.22309521,0.256054325,0.019453305,0.099538093
11170740,2024,4,26.42259821,0.253217566,0.035006291,0.101781677
11180510,2024,4,26.52649081,0.153640062,0.026997372,0.109099874
11180520,2024,4,27.00006982,0.171926874,0.025256984,0.103265381
11180530,2024,4,27.229487,0.178918277,0.078792675,0.102618781
11180540,2024,4,27.02362193,0.176876052,0.05551519,0.102347895
11180550,2024,4,26.88909689,0.197554067,0.060071454,0.099557059
11180570,2024,4,27.4234416,0.178819513,0.049220133,0.103929844
11180580,2024,4,23.55878482,0.355571095,-0.033395307,0.073559905
11180590,2024,4,26.80189355,0.258201036,0.0433013,0.09599814
11180600,2024,4,25.88926376,0.266031868,0.042471847,0.092843628
11180610,2024,4,24.73234759,0.319900838,0.014482337,0.084036163
11190540,2024,4,20.86262863,0.077960385,-0.119928803,0.085409738
11190550,2024,4,27.09128813,0.159022603,0.023039649,0.103412354
11190560,2024,4,25.12886995,0.157670601,-0.029317982,0.095312023
11190610,2024,4,26.56358673,0.167580162,-0.000118202,0.109191854
11190620,2024,4,23.11562318,0.094382028,-0.061941849,0.090296313
11190630,2024,4,27.66715188,0.162918971,0.033129356,0.103749465
11190650,2024,4,26.99363664,0.154939614,0.027985088,0.107564146
11190660,2024,4,27.19318981,0.14307745,0.024646771,0.109429321
11190670,2024,4,28.30832374,0.150809644,0.050739678,0.11979406
11190680,2024,4,26.92672796,0.169157701,0.021138281,0.103860036
11190690,2024,4,26.85579167,0.175424792,0.002724,0.10663149
11190700,2024,4,27.6896825,0.147123252,0.051857307,0.109658903
11190710,2024,4,28.0853981,0.148806698,0.063604222,0.111380928
11190720,2024,4,28.06270852,0.163080544,0.045112259,0.112137743
11190730,2024,4,27.95510322,0.16708368,0.03027343,0.107337603
11190740,2024,4,27.53067066,0.141792418,0.028826507,0.104362433
11190750,2024,4,27.53791072,0.157448622,0.036202522,0.109614783
11190760,2024,4,28.29828271,0.175285069,0.012609176,0.110654901
11200520,2024,4,27.56360646,0.144696826,0.063582735,0.114337109
11200530,2024,4,26.09627238,0.210579668,0.004462366,0.094497315
11200540,2024,4,26.25305565,0.167833759,0.013950769,0.105615448
11200550,2024,4,27.52806328,0.184255964,0.046890579,0.100048839
11200560,2024,4,26.81165254,0.198259676,0.039161102,0.099064277
11200630,2024,4,28.04313704,0.145469762,0.055747432,0.095912608
11200650,2024,4,26.807118,0.258489548,0.01827191,0.100754626
11200660,2024,4,27.51031801,0.220729034,0.04034587,0.093035673
11200670,2024,4,26.7439613,0.270346758,0.023442138,0.097787899
11200680,2024,4,26.75384836,0.202937629,0.016843045,0.104762915
11200690,2024,4,26.57068212,0.203682614,0.006835042,0.097513097
11200700,2024,4,26.69959021,0.219844219,0.008178985,0.104099309
11200710,2024,4,24.38060923,0.191974112,-0.017989494,0.094160842
11200720,2024,4,25.61447092,0.186993615,-0.005798968,0.093422928
11200730,2024,4,25.71816162,0.293406493,-0.01350568,0.0987536
11210520,2024,4,27.47043937,0.201118737,0.046774377,0.099227571
11210540,2024,4,26.58719577,0.196540325,0.034490498,0.095339338
11210570,2024,4,27.2974524,0.184447193,0.044704073,0.0987067
11210580,2024,4,24.59360786,0.36624235,-0.035885836,0.079066661
11210610,2024,4,28.10375957,0.147666613,0.056103799,0.100238388
11210620,2024,4,24.77898399,0.32597376,-0.010355352,0.078653724
11210630,2024,4,24.41729817,0.400736399,-0.038468986,0.076119351
11210640,2024,4,26.95587209,0.186733922,0.049538823,0.093914376
11210650,2024,4,26.96144845,0.191704535,0.055203121,0.095473809
11210660,2024,4,26.52990586,0.225523501,0.057517042,0.097017751
11210680,2024,4,27.70543323,0.134068678,0.062691553,0.101380999
11210690,2024,4,27.47229914,0.134821648,0.053401323,0.097129636
11210710,2024,4,24.73116264,0.314653942,-0.00283589,0.084023953
11210720,2024,4,27.47308528,0.141255483,0.043527761,0.100162645
11210730,2024,4,23.45226376,0.397007021,-0.022026855,0.074286089
11210780,2024,4,27.54383202,0.185985211,0.026920348,0.095039734
11210790,2024,4,26.6105426,0.199882755,0.007554356,0.097316733
11210800,2024,4,26.49359811,0.218910754,0.038924657,0.092532954
11210810,2024,4,26.47916078,0.245519343,0.042244637,0.095303112
11210820,2024,4,24.5969987,0.356890545,-0.002847878,0.084352539
11210830,2024,4,26.4419938,0.256031466,0.017774316,0.096066281
11220510,2024,4,26.36007773,0.230250142,-0.005048932,0.092211813
11220520,2024,4,25.48407618,0.196230304,0.001879339,0.094400131
11220530,2024,4,25.95730385,0.246393968,-0.008691813,0.093231738
11220540,2024,4,25.11488589,0.195634029,-0.012724236,0.089994154
11220550,2024,4,23.07227641,0.117507276,-0.050491236,0.088513445
11220560,2024,4,25.07313212,0.130952786,0.027271549,0.13002027
11220570,2024,4,25.67858346,0.183623735,-0.019345821,0.09310544
11220580,2024,4,22.2657778,0.105532444,-0.081903096,0.088836749
11220590,2024,4,22.78924698,0.139658199,-0.081782293,0.088524122
11220600,2024,4,26.57203707,0.217831594,-0.022990192,0.094693429
11220610,2024,4,26.22775169,0.189912088,-0.005237801,0.094016599
11220620,2024,4,26.50663449,0.210463671,0.004780721,0.093341846
11220630,2024,4,26.57708822,0.243906007,0.028401258,0.101210314
11220640,2024,4,24.91064119,0.314802071,0.009514557,0.087680113
11220650,2024,4,27.09161684,0.176504768,0.006104993,0.100789187
11220660,2024,4,26.4588685,0.301558678,0.032068825,0.096908474
11220670,2024,4,25.77066295,0.341162763,0.021068403,0.087110464
11220680,2024,4,25.97334793,0.351550099,0.020172248,0.089640353
11230510,2024,4,22.2196065,0.076763785,-0.078259847,0.083043824
11230511,2024,4,26.39409518,0.272289682,-0.019230679,0.098342493
11230520,2024,4,26.88419536,0.133900997,0.018334899,0.095172416
11230530,2024,4,26.0643646,0.125443008,0.012899994,0.097492501
11230580,2024,4,25.09148656,0.133541578,-0.014355949,0.104967175
11230590,2024,4,25.14593777,0.211113391,-0.02759084,0.092743962
11230600,2024,4,25.35172176,0.248836223,-0.025798428,0.092777021
11230630,2024,4,26.7189067,0.133472417,0.029182928,0.095475901
11230640,2024,4,26.45367186,0.126167157,0.017418243,0.094181518
11230650,2024,4,26.01249229,0.166541714,-0.00100803,0.092489343
11230660,2024,4,26.04401807,0.251742768,-0.003825066,0.092517416
11230670,2024,4,24.95513145,0.234215857,-0.030946905,0.093704771
11230680,2024,4,24.61889088,0.291792669,0.001580428,0.092288816
11230710,2024,4,24.48112578,0.312366496,-0.013760925,0.081290305
11230720,2024,4,24.53526697,0.362266892,-0.043198618,0.083060113
11230730,2024,4,27.50279654,0.245284813,-0.007606505,0.100466229
11230750,2024,4,26.18514671,0.300975236,-0.016861425,0.094750035
11230760,2024,4,26.36712447,0.304405084,0.005024447,0.09935237
11230770,2024,4,23.66278331,0.132132255,-0.047373663,0.087716244
11230780,2024,4,23.40724584,0.101900628,-0.047804521,0.087203637
11230790,2024,4,26.29087128,0.183737611,-0.00712312,0.101383188
11230800,2024,4,24.3799658,0.310867981,-0.033295658,0.089380884
11240510,2024,4,21.55122719,0.068151685,-0.085028816,0.086666734
11240520,2024,4,21.08776175,0.071836456,-0.065436023,0.077528318
11240530,2024,4,26.29458022,0.204673985,0.022951716,0.102619511
11240540,2024,4,26.40825635,0.193115771,0.017827648,0.095788381
11240550,2024,4,27.23243938,0.205830503,0.044186687,0.099856211
11240560,2024,4,27.25703374,0.232436225,0.037696556,0.101186353
11240570,2024,4,27.6248906,0.184797641,0.013775858,0.101681196
11240580,2024,4,27.75490031,0.134140744,0.036356571,0.096421305
11240590,2024,4,27.05196619,0.258140866,-0.006743456,0.114178051
11240600,2024,4,26.63002954,0.225388481,-0.001398197,0.098272567
11240610,2024,4,28.00439928,0.150759177,0.043632326,0.100979966
11240620,2024,4,26.80521669,0.211781094,0.006063963,0.102598152
11240630,2024,4,27.456838,0.160443573,0.033829759,0.098940633
11240640,2024,4,28.08894744,0.160664163,0.042714464,0.099354063
11240650,2024,4,26.81683088,0.192232718,0.014176495,0.101422162
11240660,2024,4,27.47097247,0.189262024,0.013183656,0.110261375
11240670,2024,4,26.25858744,0.211197261,0.016414874,0.098033364
11240680,2024,4,26.51721097,0.19018034,0.005943326,0.093684234
11240690,2024,4,26.42881942,0.195344087,-0.006242259,0.103823326
11240710,2024,4,27.89863672,0.172218951,0.02585263,0.099075168
11240750,2024,4,24.47073197,0.202260839,-0.01542116,0.103844458
11240770,2024,4,20.69235292,0.08124908,-0.053499054,0.068649244
11240780,2024,4,26.56380912,0.238925093,0.002059076,0.108424476
11240790,2024,4,21.64144247,0.081811091,-0.099507853,0.08862343
11240800,2024,4,23.17287659,0.165007943,-0.077392046,0.087003127
11240810,2024,4,25.75574194,0.232137455,-0.014142448,0.09788261
11240820,2024,4,26.63780942,0.190175975,0.04435556,0.114549279
11250530,2024,4,25.64085501,0.189493351,-0.005393597,0.095390543
11250540,2024,4,25.07887929,0.287228912,-0.00840387,0.093443323
11250550,2024,4,24.87301515,0.227175095,0.015517154,0.102883445
11250560,2024,4,25.13292308,0.199718455,0.016754063,0.10945424
11250580,2024,4,19.5912684,0.096187444,-0.10610971,0.072489236
11250590,2024,4,25.62605553,0.230460007,0.019057197,0.10003575
11250610,2024,4,27.2241598,0.148314535,0.049056566,0.101938647
11250630,2024,4,26.43673436,0.135736057,0.033773671,0.09296872
11250650,2024,4,27.62360139,0.159218969,0.014439798,0.102719271
11250660,2024,4,27.51833605,0.13374034,0.036918252,0.098639747
11250670,2024,4,27.53539737,0.14024958,0.042818167,0.097604238
11250700,2024,4,24.38621525,0.140079121,0.062125199,0.11748635
11250710,2024,4,26.05242657,0.23765525,0.020754232,0.098072787
11250720,2024,4,26.20896496,0.149828221,0.039827065,0.098042938
11250730,2024,4,22.85011568,0.102554563,-0.04579585,0.087514333
11250740,2024,4,26.0418096,0.197605258,0.031976681,0.096971706
11250750,2024,4,24.8528025,0.20941652,-0.004539781,0.105263162
11250760,2024,4,25.12516326,0.250898467,0.018382749,0.09733151
11250770,2024,4,26.13448783,0.223187062,0.008034722,0.106220364
11010530,2024,5,28.48006475,0.365625108,-0.111843704,0.106695463
11010540,2024,5,25.27650589,0.588423347,-0.247083991,0.087013694
11010550,2024,5,25.16327055,0.592932163,-0.246470152,0.083357064
11010560,2024,5,22.07575324,0.699712439,-0.312431568,0.074015114
11010570,2024,5,25.64179838,0.53156793,-0.215137053,0.094749517
11010580,2024,5,28.18209617,0.322219021,-0.074544084,0.105339152
11010600,2024,5,29.59688404,0.359233569,-0.107497367,0.099933921
11010610,2024,5,28.23434646,0.394855926,-0.130628825,0.101588723
11010630,2024,5,30.75664487,0.245222616,-0.00923205,0.116150953
11010640,2024,5,29.39174788,0.321100882,-0.073595607,0.106696563
11010670,2024,5,31.69445013,0.237355758,0.022820641,0.118684321
11010680,2024,5,30.30282921,0.26192755,0.000953547,0.119089634
11010690,2024,5,29.86291927,0.342994063,-0.084308686,0.114750563
11010700,2024,5,29.54796941,0.326115487,-0.067049298,0.105111471
11010710,2024,5,30.37092543,0.242918099,0.010794,0.111538947
11010720,2024,5,26.75369198,0.511882428,-0.191023802,0.095007827
11010730,2024,5,29.42465852,0.373901173,-0.104911334,0.103942655
11020520,2024,5,28.37542598,0.293558817,-0.066988606,0.109907671
11020540,2024,5,28.84430378,0.312164488,-0.081846091,0.108055788
11020550,2024,5,28.99744517,0.240096286,-0.037109526,0.102703706
11020570,2024,5,26.25444292,0.524849106,-0.208094433,0.092338775
11020580,2024,5,27.96163053,0.447721249,-0.169378019,0.101895879
11020590,2024,5,31.23996207,0.220080915,0.002148111,0.117259173
11020600,2024,5,31.6254237,0.216722382,0.026455579,0.119044308
11020650,2024,5,29.83103314,0.263789858,-0.037029819,0.106806805
11020670,2024,5,30.67324961,0.202710461,0.036893329,0.116982182
11020680,2024,5,29.51005514,0.338415943,-0.085607639,0.107296168
11020690,2024,5,31.62740786,0.22381868,0.009129257,0.118643265
11020700,2024,5,31.13838706,0.258577676,-0.019000672,0.111942133
11020710,2024,5,26.9064383,0.451937865,-0.130576595,0.091054119
11020720,2024,5,29.248295,0.317371759,-0.07038442,0.103859411
11020730,2024,5,28.98710206,0.307741544,-0.057321305,0.106129171
11030510,2024,5,28.59395377,0.406051261,-0.121370375,0.099627232
11030520,2024,5,29.70476214,0.455401362,-0.163994395,0.100097491
11030530,2024,5,32.00927237,0.285535577,-0.052777622,0.113898877
11030570,2024,5,28.65979117,0.267837499,-0.066897175,0.101464968
11030580,2024,5,30.07787338,0.356007267,-0.094405545,0.105163764
11030590,2024,5,31.05848368,0.271886214,-0.045194516,0.107807845
11030630,2024,5,22.07125516,0.167123584,-0.179022769,0.072593938
11030640,2024,5,22.71750032,0.148124199,-0.163500759,0.073676694
11030650,2024,5,30.35717747,0.251116457,-0.02612702,0.116439601
11030660,2024,5,27.26080151,0.422897119,-0.160122038,0.094517292
11030690,2024,5,26.5009285,0.273171593,-0.15226339,0.090947488
11030700,2024,5,28.50574415,0.213640442,-0.045322027,0.101579271
11030710,2024,5,31.58905356,0.25467177,-0.002190545,0.114082741
11030720,2024,5,30.6807895,0.263109265,-0.03766479,0.107442929
11030730,2024,5,30.70678198,0.284106743,-0.029750612,0.119614201
11030740,2024,5,27.10897213,0.374340391,-0.153281469,0.09734756
11040520,2024,5,29.41998973,0.342565365,-0.087740171,0.101669784
11040540,2024,5,30.96906006,0.2872658,-0.027317165,0.11594516
11040550,2024,5,29.87163476,0.316162229,-0.067143955,0.11266702
11040560,2024,5,29.56718829,0.259866187,-0.036523608,0.112981069
11040570,2024,5,28.06335535,0.403064875,-0.139633419,0.093285176
11040580,2024,5,27.96985385,0.343330363,-0.132423254,0.098550471
11040590,2024,5,27.38019816,0.432789112,-0.155126691,0.095049227
11040620,2024,5,26.55029754,0.368842648,-0.176803932,0.092134031
11040650,2024,5,25.64744143,0.329370993,-0.139606699,0.092215991
